scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,3,0,,16.830535000053715,5.6101783333512385,5019.999999999981,21.585413999900993,232.56445301549493,251,0,0,0,12878.180226426794,12033.337139118448,59.49473732355597,59.670131773265595,97.94324804543578,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,once,0,0,16.830535000053715,7.538129000067784,5019.999999999981
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,476,0,,720.0940750033169,1.5128026785783968,3583.3333333333253,737.7857799999674,4.856875031304457,215,0,0,0,12878.180226426794,9355.717066595065,58.945182700739934,59.18705717772196,30.41520646695983,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,153,11,14.773256000125912,7.2287789998881635,3583.3333333333253
22.11.24.08.2026,voronoi,1,0,completed,True,False,3,529,0,,40.86180900094405,0.07724349527588667,3449.9999999999927,57.13371899992126,60.38465656339906,207,0,0,0,12878.180226426794,10226.0707672293,58.223754300693,58.42998338470859,19.021638833167515,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,2,9,13.404213999592685,4.603251999924396,3449.9999999999927
22.11.24.08.2026,prm,1,0,completed,True,False,3,3,0,,28.990297000063947,9.663432333354649,3380.0000000000027,32.094154000105846,105.31512997628339,169,0,0,0,12914.686524285436,12343.449017652492,58.5664751518268,59.46315924767794,47.04234174041946,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,once,0,0,28.990297000063947,15.94338300014897,3380.0000000000027
22.11.24.08.2026,prm,1,0,completed,True,False,3,413,0,,766.9778589997804,1.857089246972834,2616.6666666666624,783.0593219998718,3.341594427333937,157,0,0,0,12914.686524285436,9151.862552642553,58.49126964657838,58.674412189403995,30.728776827306405,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,114,0,18.50736199980929,7.986054999946646,2616.6666666666624
22.11.24.08.2026,prm,1,0,completed,True,False,3,418,0,,26.56067600219103,0.06354228708658141,2633.333333333329,38.771296000049915,67.91966235356018,158,0,0,0,12914.686524285436,9600.945348765144,59.20701144274232,59.388706320271744,33.748419050909376,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,0,0,18.98679800001446,6.349445000068954,2633.333333333329
22.11.24.08.2026,visibility,1,0,completed,True,False,3,3,0,,31.55695200007358,10.518984000024526,3800.0000000000027,34.90072899990082,108.88024717222386,190,0,1,1,7509.028691093707,7251.103296070778,59.68993589738218,59.96009205406273,-10.18510659924928,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,once,0,0,31.55695200007358,10.770026000045618,3800.0000000000027
22.11.24.08.2026,visibility,1,0,completed,True,False,3,596,0,,2580.8840950007834,4.330342441276482,3816.666666666658,2602.9960340001708,1.4662591171148929,229,0,1,1,7509.028691093707,7306.236310019696,58.657554144996595,59.03672393794396,-3.6517326970002557,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,cycle,254,92,31.356958000287705,16.68018200007282,3816.666666666658
22.11.24.08.2026,visibility,1,0,completed,True,False,3,558,0,,234.2304779956521,0.4197678817126382,3816.666666666658,251.2569389998589,15.190293577001674,229,0,1,1,7509.028691093707,7291.34937763901,58.98499498276147,59.03672393794396,-2.4877880144187543,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026,event,19,62,34.45584399992185,13.912018999917564,3816.666666666658
22.11.24.08.2026~p000,voronoi,1,0,completed,True,False,3,3,0,,13.260173999924518,4.42005799997484,5379.999999999974,17.927822000046945,300.09222536825087,269,0,0,0,13319.632445227217,12514.218830929327,58.20275999557037,58.62287373010217,63.78525386085195,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,13.260173999924518,4.517501999998785,5379.999999999974
