scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_clearance_mm,planning_time_ms_p95_call,straight_line_mm,replan_period_ms,rebuild_calls,check_calls,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_finished,replans_route_blocked,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated
random-s0-0000,voronoi,1,0,completed,True,False,6,6,0,,3.983300004620105,0.6638833341033509,3560.0000000000027,20.49809999880381,173.6746332688274,178,0,1,1,25121.943430832205,24699.528945348517,58.704761342755226,59.27079673745914,-40.19323126347044,20.0,kinematic,False,0,0.0,,,,random,once,0,0,3.983300004620105,3.8355000142473727,3560.0000000000027,0.0,0.0,3.8355000142473727,24532.51069962512,20.0,6,0,3.983300004620105,0,0,0,0,0,0,0,0.0,0.0,0.058982394702471234,0,680.7020006761659,-40.19323126347044,259.99999999999994,1,0
random-s0-0000,voronoi,1,0,completed,True,False,6,672,0,,185.5907000717707,0.27617663701156353,2720.000000000002,252.2783000022173,10.781743812195085,136,0,0,0,25121.943430832205,24648.829437213004,58.575274215158394,59.85959166527332,156.87319637073887,20.0,kinematic,False,0,0.0,,,,random,cycle,45,4,2.8719999827444553,5.789499991806224,2720.000000000002,0.0,0.0,2.7682000072672963,24532.51069962512,20.0,51,621,147.45659998152405,38.13410009024665,0,0,0,45,0,6,97.14481791384591,750.0,0.5184285029301067,1,492.0387621552528,156.87319637073887,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,140,0,,49.73279984551482,0.35523428461082013,2840.0000000000014,81.49549999507144,34.84854992204176,142,0,0,0,25121.943430832205,24983.6644886539,58.53192096494275,59.36336700821727,137.77480367313092,20.0,kinematic,False,0,0.0,,,,random,cycle,10,1,3.0798000225331634,5.6671999918762594,2840.0000000000014,0.0,0.0,2.967200009152293,24532.51069962512,100.0,16,124,39.969999954337254,9.762799891177565,0,0,0,10,0,5,218.59712843769853,745.5255646516817,0.3510983422767917,2,586.7061780294972,137.77480367313092,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,695,0,,349.24359974684194,0.502508776614161,2900.0000000000023,410.85660000680946,7.05842379056814,145,0,0,0,25098.644610592088,24839.36625809199,58.6524753557701,59.82407553251406,200.9251094074537,20.0,kinematic,False,0,0.0,,,,random,cycle,81,3,3.230100031942129,6.0649999941233546,2900.0000000000023,50.0,0.0,3.9969999925233424,24532.51069962512,20.0,87,608,325.1004000485409,24.143199698301032,0,0,0,81,0,7,66.57526607260594,750.0,0.7619706593510643,3,437.2367578307334,200.9251094074537,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,141,0,,56.168500013882294,0.3983581561268248,2940.0000000000014,77.56950001930818,37.90149477911025,147,0,0,0,25098.644610592088,25091.886014762516,59.106722216052674,59.87736808755944,183.46576933500694,20.0,kinematic,False,0,0.0,,,,random,cycle,15,1,4.7553000040352345,4.6390999923460186,2940.0000000000014,50.0,0.0,2.8276999946683645,24532.51069962512,100.0,21,120,50.76840001856908,5.400099995313212,0,0,0,15,0,6,230.9382108084311,644.3877839637541,0.427095730349277,0,219.61354181444437,183.46576933500694,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,832,0,,435.5327000375837,0.5234768029297882,4419.999999999994,518.0147000064608,8.532576392030702,221,0,0,0,25075.413153749298,27415.882261826002,58.523963415207454,59.927263672670065,133.36988999581274,20.0,kinematic,False,0,0.0,,,,random,cycle,170,9,2.8794999816454947,5.898600007640198,4419.999999999994,150.0,0.0,3.1645999988541007,24532.51069962512,20.0,176,656,390.0793000648264,45.453399972757325,0,0,0,170,0,16,89.0305405002285,750.0,2.5494141897909204,15,267.45456871706233,133.36988999581274,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,191,0,,134.7985998436343,0.7057518316420643,4379.999999999994,181.698200001847,24.105907488106485,219,0,0,0,25075.413153749298,32221.9914465975,58.47673313933481,59.6495952913906,82.99998032669976,20.0,kinematic,False,0,0.0,,,,random,cycle,52,2,4.143799975281581,5.917300004512072,4379.999999999994,150.0,0.0,3.950099984649569,24532.51069962512,100.0,58,133,122.82009999034926,11.97849985328503,0,0,0,52,0,20,354.5554573935654,750.0,3.2513058539856483,33,107.45241397944562,82.99998032669976,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,673,0,,80.80080026411451,0.12006062446376599,2740.000000000002,150.21369999158196,18.240679779231538,137,0,0,0,25121.943430832205,24876.61559965925,58.867212078162545,59.750343145019556,125.26476522160993,20.0,kinematic,False,0,0.0,,,,random,event,5,5,4.95150001370348,5.723299982491881,2740.000000000002,0.0,0.0,0.05810000584460795,24532.51069962512,20.0,11,662,33.13460003118962,47.66620023292489,5,0,0,0,0,6,426.5162618238677,597.6688902126402,0.30691512655850595,0,416.6284122470538,125.26476522160993,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,140,0,,20.747800241224468,0.14819857315160334,2860.0000000000014,41.75470001064241,68.49528314826945,143,0,0,0,25121.943430832205,25100.833998250288,58.31551359293902,58.935152752896094,137.77480367313092,20.0,kinematic,False,0,0.0,,,,random,event,4,1,3.0790000164415687,3.007499995874241,2860.0000000000014,0.0,0.0,0.036500015994533896,24532.51069962512,100.0,10,130,14.97170000220649,5.776100239017978,4,0,0,0,0,5,381.4355308162459,467.0198383333749,0.2504784386093582,0,301.13900086711726,137.77480367313092,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,704,0,,73.19719935185276,0.10397329453388177,3000.0000000000023,162.72949997801334,18.435501862940264,150,0,0,0,25098.644610592088,25265.7508550156,58.815694439611775,59.68745744374634,157.22860151735256,20.0,kinematic,False,0,0.0,,,,random,event,11,1,3.247199987526983,6.094800017308444,3000.0000000000023,50.0,0.0,0.0585000088904053,24532.51069962512,20.0,17,687,44.899099942995235,28.298099408857524,6,0,5,0,0,7,267.603897247703,510.44131150300376,0.5719359121909935,2,310.3094239678043,157.22860151735256,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,156,0,,38.651700131595135,0.24776730853586626,3680.000000000002,66.76829999196343,55.115975701686956,184,0,1,1,25098.644610592088,27154.125123326983,58.18922945100193,58.94640416810556,-40.98034253700661,20.0,kinematic,False,0,0.0,,,,random,event,7,0,5.976199987344444,5.798700003651902,3680.000000000002,50.0,0.0,3.0153999978210777,24532.51069962512,100.0,13,143,35.3056000021752,3.3461001294199377,6,0,1,0,0,6,367.32925749583046,748.5532048401783,0.41287915540955017,0,804.5875755797097,-40.98034253700661,340.0,1,0
random-s0-0000,voronoi,1,0,completed,True,False,6,874,0,,130.79789996845648,0.14965434778999598,4399.9999999999945,209.63860000483692,20.988501162946495,220,0,0,0,25075.413153749298,28827.476624225696,58.48070399829592,59.10379749355029,134.32857611316592,20.0,kinematic,False,0,0.0,,,,random,event,95,6,3.360000060638413,5.9628000017255545,4399.9999999999945,150.0,0.0,0.06979997851885855,24532.51069962512,20.0,101,773,91.97339988895692,38.82450007949956,75,0,17,0,3,13,112.44969219263042,750.0,2.1850595539207123,16,267.45456871706233,134.32857611316592,0.0,0,0
random-s0-0000,voronoi,1,0,completed,True,False,6,189,0,,98.08439994230866,0.5189650790598342,4319.9999999999945,159.94620000128634,27.009081803539264,216,0,0,0,25075.413153749298,31582.57133377343,58.50438419425751,59.7238528775401,83.07518100611128,20.0,kinematic,False,0,0.0,,,,random,event,31,2,3.9801999810151756,6.455900002038106,4319.9999999999945,150.0,0.0,3.7749999901279807,24532.51069962512,100.0,37,152,78.54899993981235,19.535400002496317,24,0,5,0,2,19,400.796494457425,750.0,2.675556213168304,27,116.0088676819077,83.07518100611128,0.0,0,0
random-s0-0000,prm,1,0,completed,True,False,6,6,0,,51.883500011172146,8.647250001862025,2780.000000000002,72.21270000445656,38.4973834218695,139,0,0,0,24813.34037345258,24415.987681940518,58.598671525453454,58.899738371847505,137.77480367313098,20.0,kinematic,False,0,0.0,,,,random,once,0,0,51.883500011172146,51.79389999830164,2780.000000000002,0.0,0.0,51.79389999830164,24532.51069962512,20.0,6,0,51.883500011172146,0,0,0,0,0,0,0,0.0,0.0,0.0350948094631807,0,680.7020006761659,137.77480367313098,0.0,0,0
random-s0-0000,prm,1,0,completed,True,False,6,665,0,,484.9655998405069,0.7292715787075292,2700.000000000002,562.6257999974769,4.79892674671533,135,0,0,0,24813.34037345258,24382.285496834327,58.71506817991297,59.800765705163826,110.77916443909396,20.0,kinematic,False,0,0.0,,,,random,cycle,36,23,9.23479997436516,18.31109999329783,2700.000000000002,0.0,0.0,7.558099983725697,24532.51069962512,20.0,42,623,356.09199994360097,128.87359989690594,0,0,0,36,0,4,30.7678296786097,407.5411257752987,0.1587428803532445,0,492.75557706620566,110.77916443909396,0.0,0,0
random-s0-0000,prm,1,0,completed,True,False,6,135,0,,101.07149989926256,0.7486777770315746,2660.000000000001,128.0972000095062,20.765481211163088,133,0,0,0,24813.34037345258,24356.80564198502,58.54193796567879,59.0073030172619,137.77480367313092,20.0,kinematic,False,0,0.0,,,,random,cycle,7,5,7.982099981745705,17.90199999231845,2660.000000000001,0.0,0.0,7.203999994089827,24532.51069962512,100.0,13,122,80.8040999691002,20.267399930162355,0,0,0,7,0,4,132.90424591469232,355.83409714000527,0.16868950012268855,0,584.191881404422,137.77480367313092,0.0,0,0
