scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,replan_count,replan_failures,replan_attempts,blocked_ms,blocked_time_pct,any_replan_failure,rebuild_calls,check_calls,planner_calls,planning_time_ms_total,planning_time_ms_initial,planning_time_ms_max_call,planning_time_ms_p95_call,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_blocked,replans_route_finished,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns
random-s0-0000,voronoi,once,0.0,20.0,30.0,1,0,0,0,0,0.0,0.0,False,6,0,6,15.004199973191136,15.004199973191136,14.408999995794147,14.408999995794147,15.004199973191136,0.0,0,0,0,0,0,0,0.0,0.0,0.0589823947024712,0
random-s0-0000,voronoi,cycle,0.0,20.0,30.0,1,0,58,9,67,180.0,6.6666666666666625,True,64,634,698,1031.8798999360297,26.225399982649837,76.85959999798797,12.688000002526678,962.5392999732868,69.340599962743,0,0,0,58,0,5,87.16307058945841,750.0,0.7608203479008913,4
random-s0-0000,voronoi,cycle,0.0,100.0,30.0,1,0,12,1,13,100.0,3.6231884057971,True,18,125,143,211.79369997116737,13.999100003275087,18.266400002175946,14.329799989354797,196.44189997052308,15.351800000644287,0,0,0,12,0,4,232.8630537804796,670.0227509452296,0.4079480818242026,1
random-s0-0000,voronoi,cycle,50.0,20.0,30.0,1,0,96,5,101,100.0,3.546099290780139,True,102,618,720,1523.0949000251712,17.38459999614861,24.581399993621744,15.29679998930078,1453.7079999863636,69.38690003880765,0,0,0,96,0,5,78.17555087505777,750.0,0.6495460139376438,2
random-s0-0000,voronoi,cycle,50.0,100.0,30.0,1,0,18,0,18,0.0,0.0,False,24,122,146,234.8189999756869,14.446699991822245,19.513300008839,10.563300005742349,224.30619996157475,10.512800014112145,0,0,0,18,0,5,225.82567782113043,750.0000000000001,0.6461976048608363,3
random-s0-0000,voronoi,cycle,150.0,20.0,30.0,1,0,160,11,171,220.0,6.62650602409638,True,166,618,784,967.547800304601,15.206200012471529,20.046000005095262,11.47490000585094,935.2465000265512,32.301300278049894,0,0,0,160,0,52,196.4384379777288,750.0,5.77187176517089,27
random-s0-0000,voronoi,cycle,150.0,100.0,30.0,1,0,24,2,26,200.0,6.289308176100627,True,30,123,153,178.18259990599472,6.199299983563833,12.84779999696184,8.84599999699276,165.41179997147992,12.770799934514798,0,0,0,24,0,11,409.8978186092393,750.0,1.599578645387426,12
random-s0-0000,voronoi,event,0.0,20.0,30.0,1,0,6,4,10,80.0,2.9411764705882333,True,12,672,684,95.8483000722481,5.8803000138141215,13.284899992868304,0.1450000127078965,55.65810004191008,40.19020003033802,5,1,0,0,0,6,417.0425661479128,608.2236433130932,0.3495926650621306,0
random-s0-0000,voronoi,event,0.0,100.0,30.0,1,0,4,0,4,0.0,0.0,False,10,130,140,41.850200068438426,7.620899996254593,8.451500005321577,0.1364000054309144,35.83799999614712,6.012200072291307,4,0,0,0,0,5,449.89903737553504,670.0227509452296,0.2925043276480545,0
random-s0-0000,voronoi,event,50.0,20.0,30.0,1,0,8,4,12,80.0,2.7586206896551704,True,14,684,698,93.94209999300074,5.72870000905823,8.621799992397428,0.1069999998435378,55.268399984925054,38.67370000807568,5,3,0,0,0,6,314.76411953143304,576.1291607062336,0.3657346560960196,0
random-s0-0000,voronoi,event,50.0,100.0,30.0,1,0,8,0,8,0.0,0.0,False,14,131,145,60.803600033978,6.717800002661534,6.473600005847402,5.736099992645904,54.70649998460431,6.097100049373694,5,2,0,0,1,5,401.740387177147,750.0,0.654811990362242,4
random-s0-0000,voronoi,event,150.0,20.0,30.0,1,0,86,12,98,240.0,7.5471698113207495,True,92,667,759,241.97869989438917,5.799200007459149,6.753699999535456,0.15259999781847,210.9815999865532,30.997099907835945,67,15,0,0,4,27,195.62036980835447,734.907803718348,3.6162429833624334,23
random-s0-0000,voronoi,event,150.0,100.0,30.0,1,0,15,2,17,200.0,6.289308176100627,True,21,132,153,155.09080004994755,5.837200005771592,16.996099991956726,9.761199995409696,128.132200014079,26.958600035868585,13,1,0,0,1,12,373.8788593504704,750.0,1.2319613392380804,8
random-s0-0000,prm,once,0.0,20.0,30.0,1,0,0,0,0,0.0,0.0,False,6,0,6,65.57110001449473,65.57110001449473,65.34159999864642,65.34159999864642,65.57110001449473,0.0,0,0,0,0,0,0,0.0,0.0,0.0350948094631807,0
random-s0-0000,prm,cycle,0.0,20.0,30.0,1,0,53,5,58,100.0,3.649635036496348,True,59,615,674,1494.7222998162033,42.0763000001898,90.67289999802595,19.82000000134576,1301.4277999463957,193.2944998698076,0,0,0,53,0,4,20.145719327557803,407.5411257752987,0.1551216320858299,0
random-s0-0000,prm,cycle,0.0,100.0,30.0,1,0,11,2,13,200.0,7.5187969924812,True,17,121,138,177.88889996882062,13.858600010280496,12.929000004078262,12.370099997497164,145.62380001007114,32.26509995874949,0,0,0,11,0,3,142.64452891454914,653.3423635397319,0.2175246386982016,0
random-s0-0000,prm,cycle,50.0,20.0,30.0,1,0,104,29,133,580.0,19.20529801324502,True,110,608,718,1449.162399949273,13.301199971465394,36.09049999795389,12.346299990895204,1298.450799935381,150.71160001389217,0,0,0,104,0,6,36.48724133818536,750.0,0.4877776441404898,2
random-s0-0000,prm,cycle,50.0,100.0,30.0,1,0,12,5,17,500.0,17.12328767123287,True,18,123,141,202.65619993733708,15.553899997030385,15.751400002045555,12.594200001331046,166.4675000065472,36.18869993078988,0,0,0,12,0,4,209.5290992417541,750.0,0.3372295325195304,1
random-s0-0000,prm,cycle,150.0,20.0,30.0,1,0,57,98,155,1960.0,65.33333333333329,True,63,651,714,923.0682998459088,14.56559999496676,32.07699999620672,11.744999996153638,754.5382999669528,168.529999878956,0,0,0,57,0,3,140.28241835908045,750.0,0.8406773743214385,6
random-s0-0000,prm,cycle,150.0,100.0,30.0,1,0,5,16,21,1600.0,54.42176870748297,True,11,131,142,156.63319981831592,43.57620001246687,39.41270000359509,0.8593000093242154,124.3430000031367,32.29019981517922,0,0,0,5,0,4,390.3565988399315,676.3696961195567,0.2599836626063616,0
random-s0-0000,prm,event,0.0,20.0,30.0,1,0,3,5,8,100.0,3.623188405797099,True,9,666,675,74.81699985510204,13.458599976729602,13.30049999523908,0.0414999958593398,50.49849997158162,24.318499883520417,3,0,0,0,0,4,332.3234982248187,407.5411257752987,0.1545696096615044,0
random-s0-0000,prm,event,0.0,100.0,30.0,1,0,2,1,3,100.0,3.649635036496349,True,8,129,137,43.72589992999565,13.247999988379888,13.121500000124795,0.1303000026382506,39.20329999527894,4.522599934716709,2,0,0,0,0,3,342.8090672506085,355.83409714000527,0.1397752746496646,0
random-s0-0000,prm,event,50.0,20.0,30.0,1,0,5,20,25,400.0,12.57861635220125,True,11,695,706,102.32269977859688,12.859499984188004,14.557999995304272,0.1069999998435378,78.11629994830582,24.206399830291048,5,0,0,0,0,5,391.4876961661474,750.0,0.2875695112540638,1
random-s0-0000,prm,event,50.0,100.0,30.0,1,0,5,3,8,300.0,10.13513513513513,True,11,131,142,82.25599993602373,13.975000023492612,14.306099998066202,0.1303999888477847,77.94650002324488,4.309499912778847,5,0,0,0,0,5,365.1732601473116,750.0,0.2852816102049324,1
random-s0-0000,prm,event,150.0,20.0,30.0,1,0,7,76,83,1520.0,44.970414201183395,True,13,736,749,152.83989992167335,13.218799998867324,23.372100011329167,0.1544999977340921,117.17090000456663,35.6689999171067,5,2,0,0,0,4,496.4306654298511,750.0,0.4843541714607248,3
random-s0-0000,prm,event,150.0,100.0,30.0,1,0,5,11,16,1100.0,37.41496598639454,True,11,131,142,83.68389986571856,14.255599991884084,14.121500003966505,0.2089000045089051,77.87059999827761,5.813299867440946,3,1,0,0,1,4,390.3565988399315,676.3696961195567,0.2599836626063616,0
random-s0-0000,visibility,once,0.0,20.0,30.0,1,0,0,0,0,0.0,0.0,False,6,0,6,19.141299970215183,19.141299970215183,18.97119999921415,18.97119999921415,19.141299970215183,0.0,0,0,0,0,0,0,0.0,0.0,0.0107515951074785,0
random-s0-0000,visibility,cycle,0.0,20.0,30.0,1,0,86,5,91,100.0,3.649635036496348,True,92,607,699,1523.8776997721288,20.21340001374483,33.204199993633665,16.267600003629923,1461.871500039706,62.00619973242283,0,0,0,86,0,4,11.857863094695723,217.21221076623544,0.0732901473075188,0
random-s0-0000,visibility,cycle,0.0,100.0,30.0,1,0,16,0,16,0.0,0.0,False,22,121,143,389.92879999568686,16.444499997305684,84.5164000056684,16.147900008945726,359.3280999775743,30.600700018112548,0,0,0,16,0,2,25.18890092704624,179.45077011402205,0.0410373689100443,0
random-s0-0000,visibility,cycle,50.0,20.0,30.0,1,0,99,20,119,400.0,14.598540145985393,True,105,598,703,2405.4266002349323,51.03029999008868,69.70930000534281,18.32210000429768,2294.398099940736,111.02850029419642,0,0,0,99,0,4,20.96027103674656,409.91795931945353,0.137716736958316,0
random-s0-0000,visibility,cycle,50.0,100.0,30.0,1,0,19,4,23,400.0,14.38848920863309,True,25,119,144,558.4857998910593,34.741299954475835,56.73530000785832,33.573900000192225,547.1428999007912,11.342899990268052,0,0,0,19,0,3,81.91234485254074,392.2465551087242,0.1126642453609243,0
