scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,visibility,event,150.0,100.0,30.0,1,0,0,0,0,0,0,128.91168255430227,295.9702079896607,128.91168255430227,0.0
random-s0-0001,voronoi,once,0.0,20.0,30.0,1,0,1,1,0,0,1,-147.90576513644925,201.2995062831088,-147.90576513644925,80.0
random-s0-0001,voronoi,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,14.587428727332508,160.35637947238305,14.587428727332508,0.0
random-s0-0001,voronoi,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,37.90323654877969,186.99013724101485,37.90323654877969,0.0
random-s0-0001,voronoi,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,45.5165377392081,285.58689159409045,45.5165377392081,0.0
random-s0-0001,voronoi,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,41.36785734422918,186.4321167804856,41.36785734422918,0.0
random-s0-0001,voronoi,cycle,150.0,20.0,30.0,1,0,0,0,0,0,0,39.8344171492343,388.8534858655652,39.8344171492343,0.0
random-s0-0001,voronoi,cycle,150.0,100.0,30.0,1,0,0,0,0,0,0,48.553484172586025,296.860701316558,48.553484172586025,0.0
random-s0-0001,voronoi,event,0.0,20.0,30.0,1,0,0,0,0,0,0,31.53517748416081,98.85996309153944,31.53517748416081,0.0
random-s0-0001,voronoi,event,0.0,100.0,30.0,1,0,0,0,0,0,0,18.61948523294717,18.61948523294717,37.90323654877969,0.0
random-s0-0001,voronoi,event,50.0,20.0,30.0,1,0,0,0,0,0,0,53.51830676026154,158.70851790312963,53.51830676026154,0.0
random-s0-0001,voronoi,event,50.0,100.0,30.0,1,0,0,0,0,0,0,15.09563432949824,234.00080985272456,15.09563432949824,0.0
random-s0-0001,voronoi,event,150.0,20.0,30.0,1,0,0,0,0,0,0,48.69366103432736,320.7887528322187,48.69366103432736,0.0
random-s0-0001,voronoi,event,150.0,100.0,30.0,1,0,0,0,0,0,0,57.9937168210013,350.9391069745973,57.9937168210013,0.0
random-s0-0001,prm,once,0.0,20.0,30.0,1,0,1,1,0,0,1,-147.90576513644925,176.78089745289827,-147.90576513644925,80.0
random-s0-0001,prm,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,30.062275045234344,221.32054547652095,30.062275045234344,0.0
