scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,collision_probability,collision_probability_ci95,contact_time_ms_mean,rebuild_share_of_planning_time,check_call_ms_mean,rebuild_call_ms_mean,replans_active_blocked_mean,replans_route_finished_mean,replans_route_blocked_mean,direct_path_switches_mean,path_shift_mm_mean,heading_change_rad_per_m_mean,sharp_turns_mean,path_efficiency_mean
random,voronoi,event,0.0,16.667,0.0,kinematic,0,200,1,200,1.0,0,200,0.0,804.0,32.0,0,63.47114979143953,75.0351002352545,59.44931448568241,0.07894421615850689,70.67960000131279,2483.3333333333294,2483.3333333333294,174.94366650069423,15.242566458729128,24157.80769039284,22856.613350500134,58.663961378239264,-135.69057533389147,0.0,0.07914999150671065,23.93932126940235,1.0,0.981-1.000,499.99999999999824,0.4336280026179999,0.04395617100293292,0.6783917762483103,32.0,0.0,0.0,5.0,19.903073729862513,0.23775141579089815,0.0,1.0034917930845957
random,prm,event,0.0,16.667,0.0,kinematic,0,200,1,200,1.0,0,233,0.005,806.475,4.035,4971,70.23749998916173,137.03749980777502,80.83446498545527,0.0878304349410621,179.23599999630824,2753.4999999999955,2753.4999999999955,189.45460050010297,15.00500723311837,24764.277697046564,23555.08825105844,59.153154980153566,-145.97357860630223,0.0,0.05384999531088397,29.137147648067124,0.995,0.972-0.999,400.08333333333195,0.7496965435627903,0.025404482428195544,6.0389954160780475,3.995,0.0,0.005,4.67,376.8212589674027,0.3392979631467371,1.65,0.9756019794149258
random,visibility,event,0.0,16.667,0.0,kinematic,0,200,1,200,1.0,0,200,0.0,769.0,13.0,4600,165.48964993125992,267.2615998017136,179.20502752785978,0.21520110524221056,98.59479998704046,2399.9999999999964,2399.9999999999964,261.2238465002156,9.699922029211107,22971.99851618363,22595.362886997154,58.94745288279855,-133.3139125681722,0.0,0.05115000385558233,74.66876146994169,1.0,0.981-1.000,383.33333333333195,0.9181732246668844,0.019551692701449307,8.660066210619622,13.0,0.0,0.0,4.0,39.92848237890881,0.05737347158857977,0.0,1.015094293003535
