planner,prediction_horizon_ms,replan_period_ms,n,collision_free_%,completed_%,near_miss_free_%,replans_mean,planning_ms_median,planning_ms_per_sim_s_median,p95_call_ms_median,runs_with_call_over_budget_%,time_to_goal_s_median
prm,0.0,20.0,167,71.25748502994011,100.0,39.52095808383233,2.934131736526946,21.955573001264383,8.246681356132605,0.0273660000402742,0.5988023952095809,2.640000000000002
prm,0.0,50.0,167,68.26347305389223,100.0,40.7185628742515,1.8383233532934131,15.549943001133215,6.184796787450008,0.0328209999906903,0.5988023952095809,2.6399999999999983
prm,0.0,100.0,167,64.07185628742515,100.0,39.52095808383233,1.407185628742515,14.003685000034238,5.255978421042813,0.0422110000499742,0.0,2.620000000000001
prm,0.0,200.0,167,60.47904191616767,100.0,40.7185628742515,0.9221556886227545,12.311064001323755,3.828817647106434,0.115558000288729,0.0,2.66
prm,20.0,20.0,167,84.4311377245509,100.0,43.712574850299404,2.970059880239521,22.31210300124076,8.170523623033022,0.0273420000667101,0.5988023952095809,2.680000000000002
prm,20.0,50.0,167,79.04191616766467,100.0,49.101796407185624,2.143712574850299,16.105331997096073,6.449981147390467,0.0364159998298418,0.5988023952095809,2.649999999999998
prm,20.0,100.0,167,71.25748502994011,100.0,46.10778443113773,1.5149700598802396,13.953461000710377,5.2503282256749655,0.0455659999261115,0.5988023952095809,2.660000000000001
prm,20.0,200.0,167,63.47305389221557,100.0,43.11377245508982,1.1077844311377245,12.851308999415778,3.945511731832063,5.442661000188309,0.0,2.68
prm,50.0,20.0,167,83.8323353293413,100.0,63.47305389221557,3.269461077844311,25.611355998876206,9.457658075706808,0.0294839999241958,2.3952095808383236,2.720000000000002
prm,50.0,50.0,167,80.83832335329342,100.0,61.67664670658682,2.3532934131736525,20.685401000037015,6.723142483780184,0.0379619998511771,1.1976047904191618,2.689999999999998
prm,50.0,100.0,167,80.83832335329342,100.0,61.07784431137725,1.8323353293413174,15.782300998580467,5.741735655374957,0.0530679999428684,0.5988023952095809,2.660000000000001
