planner,prediction_horizon_ms,replan_period_ms,n,collision_free_%,completed_%,near_miss_free_%,replans_mean,planning_ms_median,planning_ms_per_sim_s_median,p95_call_ms_median,runs_with_call_over_budget_%,time_to_goal_s_median
prm,0.0,20.0,167,70.05988023952095,100.0,38.92215568862276,29.634730538922156,177.64625299901127,71.45841750286758,5.920571999922686,1.1976047904191618,2.600000000000002
prm,0.0,50.0,167,68.26347305389223,100.0,41.31736526946108,11.077844311377245,70.77988400192226,27.166180891338648,6.007006000118054,0.5988023952095809,2.5999999999999983
prm,0.0,100.0,167,64.67065868263472,100.0,40.7185628742515,5.592814371257485,37.11521900049775,14.366465826723264,5.917505000070378,0.5988023952095809,2.560000000000001
prm,0.0,200.0,167,60.47904191616767,100.0,41.91616766467065,2.568862275449102,22.09049899988713,7.5830658778847235,6.098986000097284,0.0,2.66
prm,20.0,20.0,167,83.23353293413174,100.0,45.50898203592814,34.724550898203596,203.81765299816837,80.4820650357812,6.014743999912753,1.7964071856287425,2.640000000000002
prm,20.0,50.0,167,79.64071856287424,100.0,49.101796407185624,13.544910179640718,76.1941580005896,30.417337827512572,6.050688999948761,0.5988023952095809,2.5999999999999983
prm,20.0,100.0,167,71.8562874251497,100.0,47.30538922155689,6.550898203592815,40.42050599900904,16.066934347977814,6.02277400003004,1.1976047904191618,2.640000000000001
prm,20.0,200.0,167,63.47305389221557,100.0,44.31137724550898,3.161676646706587,22.61961599992901,8.767959920644913,6.124753999984023,0.5988023952095809,2.66
prm,50.0,20.0,167,85.62874251497006,100.0,58.68263473053892,41.4251497005988,244.95764900143516,87.42129813494599,5.97280200008754,3.592814371257485,2.660000000000002
prm,50.0,50.0,167,83.8323353293413,100.0,56.287425149700596,15.544910179640718,97.71979500010276,36.47064718375656,6.028320000041276,0.5988023952095809,2.689999999999998
prm,50.0,100.0,167,81.437125748503,100.0,57.48502994011976,7.383233532934132,46.49497500008693,18.05790798243833,6.02984700003617,0.5988023952095809,2.640000000000001
prm,50.0,200.0,167,69.46107784431138,100.0,49.101796407185624,3.4850299401197606,27.455570999336487,9.874579221004396,6.096992000038881,0.0,2.66
prm,100.0,20.0,167,80.23952095808383,100.0,70.65868263473054,45.7185628742515,271.23338700084787,97.28784629759141,5.842153999992661,4.790419161676647,2.720000000000002
prm,100.0,50.0,167,79.04191616766467,100.0,71.25748502994011,18.38323353293413,114.24991400031104,40.57315474126661,5.933073000051081,0.5988023952095809,2.719999999999998
prm,100.0,100.0,167,79.64071856287424,100.0,70.65868263473054,8.844311377245509,56.32209500072349,19.67377147440611,5.978512999945451,1.1976047904191618,2.700000000000001
prm,100.0,200.0,167,71.8562874251497,100.0,61.07784431137725,4.221556886227545,28.710702999660494,10.446410606095235,6.040646999963428,0.5988023952095809,2.7800000000000002
prm,150.0,20.0,167,78.44311377245509,100.0,70.05988023952095,52.41916167664671,273.738136997963,101.28140078822472,5.756004999966535,5.389221556886228,2.760000000000002
prm,150.0,50.0,167,79.64071856287424,100.0,71.25748502994011,21.01197604790419,117.16460399929927,42.12277469819078,5.764778999946429,3.592814371257485,2.869999999999998
prm,150.0,100.0,167,79.04191616766467,100.0,73.65269461077844,10.25748502994012,67.88484099934067,21.833519936021393,5.823952000355348,3.592814371257485,2.9200000000000013
prm,150.0,200.0,167,70.05988023952095,100.0,65.86826347305389,4.736526946107785,33.73398099915903,12.091208750319991,5.891176999966774,1.7964071856287425,2.8800000000000003
prm,200.0,20.0,167,75.44910179640718,100.0,71.25748502994011,52.5748502994012,286.8487980017562,102.1846552321168,5.595508000169502,11.377245508982035,2.960000000000002
prm,200.0,50.0,167,75.44910179640718,100.0,69.46107784431138,20.479041916167663,120.13056799901278,40.74796254721058,5.630176000067877,4.790419161676647,2.9899999999999975
prm,200.0,100.0,167,75.44910179640718,100.0,71.25748502994011,10.131736526946108,61.40644399920348,20.475827210900825,5.763528999978007,2.3952095808383236,3.0000000000000013
prm,200.0,200.0,167,71.25748502994011,100.0,61.67664670658682,4.910179640718563,36.513619000061226,11.754250680478062,5.773455000053218,2.3952095808383236,3.0800000000000005
visibility,0.0,20.0,167,60.47904191616767,100.0,38.32335329341318,46.8562874251497,294.895592002149,111.06621342263817,8.706821000032505,7.18562874251497,2.680000000000002
visibility,0.0,50.0,167,58.08383233532935,100.0,38.32335329341318,17.65868263473054,119.08523900001455,44.60148181813949,8.652595000057772,4.191616766467066,2.669999999999998
visibility,0.0,100.0,167,56.886227544910184,100.0,38.32335329341318,8.41317365269461,58.68521200000032,22.52507021213778,8.650195999962307,2.9940119760479043,2.680000000000001
visibility,0.0,200.0,167,51.49700598802395,100.0,38.92215568862276,3.730538922155689,28.68120300024657,11.172627734357121,8.682723999982045,0.5988023952095809,2.64
visibility,20.0,20.0,167,63.47305389221557,100.0,40.119760479041915,50.712574850299404,320.7108490025803,120.5025303330936,8.680989000026784,6.58682634730539,2.700000000000002
visibility,20.0,50.0,167,63.47305389221557,100.0,41.31736526946108,19.221556886227546,126.0997569996789,46.93547447712484,8.683702999860543,2.3952095808383236,2.6999999999999984
visibility,20.0,100.0,167,60.47904191616767,100.0,42.51497005988024,9.161676646706587,64.93572299973494,23.52743586946917,8.722472999579622,2.3952095808383236,2.700000000000001
visibility,20.0,200.0,167,58.08383233532935,100.0,41.91616766467065,4.18562874251497,29.43678099904901,11.939119166678818,8.68237700001373,0.5988023952095809,2.72
visibility,50.0,20.0,167,64.67065868263472,100.0,47.30538922155689,55.44311377245509,373.1120489992463,131.9806080286349,8.507304999966436,8.982035928143713,2.740000000000002
visibility,50.0,50.0,167,64.67065868263472,100.0,48.50299401197605,20.682634730538922,146.44020799926238,54.47202509661966,8.531147999974564,3.592814371257485,2.7499999999999982
visibility,50.0,100.0,167,60.47904191616767,100.0,47.90419161676647,10.431137724550899,75.53953699982685,27.868757842655384,8.571889999984705,4.191616766467066,2.760000000000001
visibility,50.0,200.0,167,63.47305389221557,100.0,43.712574850299404,4.844311377245509,38.101505999975416,14.024652362093361,8.626001999800792,2.3952095808383236,2.74
visibility,100.0,20.0,167,68.26347305389223,100.0,50.29940119760479,60.31736526946108,435.99143200026447,145.87176782657943,8.24311199994554,7.784431137724551,2.760000000000002
visibility,100.0,50.0,167,67.06586826347305,100.0,52.09580838323353,22.856287425149702,175.81074399981844,61.98789440810221,8.306672999879083,5.9880239520958085,2.7699999999999982
visibility,100.0,100.0,167,69.46107784431138,100.0,54.49101796407185,10.832335329341317,87.43421699978171,30.70249602275379,8.253864000153044,3.592814371257485,2.7800000000000007
visibility,100.0,200.0,167,62.874251497005986,100.0,50.29940119760479,4.92814371257485,44.20764400083499,15.61290607112044,8.343859999968117,2.3952095808383236,2.7800000000000002
visibility,150.0,20.0,167,64.67065868263472,100.0,48.50299401197605,61.21556886227545,442.8335189959398,157.54741397491625,7.991173999926104,5.389221556886228,2.920000000000002
visibility,150.0,50.0,167,66.46706586826348,100.0,50.898203592814376,23.550898203592816,171.96098500028256,58.95658821474599,7.996120999905543,3.592814371257485,2.849999999999998
visibility,150.0,100.0,167,66.46706586826348,100.0,51.49700598802395,11.7125748502994,90.17750900193278,31.466965999811677,8.030637000047136,1.7964071856287425,2.8800000000000012
visibility,150.0,200.0,167,62.874251497005986,100.0,52.69461077844312,5.191616766467066,45.64400300023408,15.982302155027263,8.112271000072724,0.5988023952095809,2.8800000000000003
visibility,200.0,20.0,167,59.88023952095808,100.0,48.50299401197605,61.34730538922156,439.0910840011202,137.62593695527963,7.733327999858375,2.9940119760479043,3.0600000000000023
visibility,200.0,50.0,167,61.07784431137725,100.0,47.90419161676647,23.095808383233532,168.2816790000743,52.61746170298411,7.750302000204101,2.3952095808383236,2.9699999999999975
visibility,200.0,100.0,167,59.88023952095808,100.0,49.700598802395206,11.083832335329342,87.4393159997453,28.190118208015036,7.742464999864751,2.3952095808383236,2.9800000000000013
visibility,200.0,200.0,167,56.886227544910184,100.0,49.101796407185624,5.1017964071856285,43.301365999468544,14.517060416724664,7.906456999990041,1.1976047904191618,2.9400000000000004
voronoi,0.0,20.0,191,75.91623036649214,100.0,41.361256544502616,43.1151832460733,113.74129700175216,41.32978724861066,3.792793000002348,0.0,2.760000000000002
voronoi,0.0,50.0,191,73.82198952879581,100.0,42.40837696335078,17.408376963350786,44.15022300327109,17.178092050195716,3.789978999975574,0.0,2.7899999999999983
voronoi,0.0,100.0,191,70.15706806282722,100.0,48.69109947643979,8.460732984293193,23.262450999709472,8.41917086580813,3.8097430001471366,0.0,2.760000000000001
voronoi,0.0,200.0,191,63.35078534031413,100.0,48.167539267015705,3.926701570680628,12.421328999721482,4.53495543482063,3.830809000191948,0.0,2.74
voronoi,20.0,20.0,191,85.86387434554975,100.0,45.54973821989529,48.455497382198956,133.67437300189522,47.495583446930475,3.810169999724167,0.5235602094240838,2.760000000000002
voronoi,20.0,50.0,191,83.24607329842932,100.0,47.64397905759162,19.05235602094241,54.04381999937869,19.913458363488182,3.829825999673631,0.0,2.7699999999999982
voronoi,20.0,100.0,191,80.10471204188482,100.0,53.92670157068062,9.282722513089006,28.24858400060748,10.331574569218459,3.8299880000067783,0.0,2.760000000000001
voronoi,20.0,200.0,191,69.63350785340315,100.0,53.403141361256544,4.87434554973822,16.042400000173984,5.433644643001605,3.847567999969215,0.5235602094240838,2.8600000000000003
voronoi,50.0,20.0,191,90.57591623036649,100.0,66.49214659685863,54.18848167539267,157.92397099949085,56.69780833203948,3.8359310001396807,0.0,2.860000000000002
voronoi,50.0,50.0,191,90.0523560209424,100.0,65.44502617801047,21.895287958115183,62.8131379990009,22.367083783915607,3.847226999937448,0.0,2.889999999999998
voronoi,50.0,100.0,191,86.38743455497382,100.0,66.49214659685863,10.821989528795811,33.40703599997141,12.054526119591984,3.8494299999456416,0.0,2.8800000000000012
voronoi,50.0,200.0,191,80.10471204188482,100.0,64.3979057591623,5.392670157068062,16.95536700253797,6.1021374044129795,3.876312000102189,0.0,2.9400000000000004
voronoi,100.0,20.0,191,91.62303664921467,100.0,83.7696335078534,70.32984293193718,201.0418449995086,66.1533134871056,3.864473000021462,0.5235602094240838,3.0400000000000023
voronoi,100.0,50.0,191,89.52879581151832,100.0,79.58115183246073,27.81151832460733,82.33636199884131,28.51482265621527,3.878857000017888,0.5235602094240838,3.089999999999997
voronoi,100.0,100.0,191,90.0523560209424,100.0,82.19895287958116,13.534031413612565,41.25583199947869,13.974531196693443,3.8812420000340353,0.0,3.0400000000000014
voronoi,100.0,200.0,191,80.6282722513089,100.0,67.5392670157068,6.952879581151833,21.43214299917417,7.178356627099926,3.8915650000035376,0.0,3.1200000000000006
voronoi,150.0,20.0,191,96.33507853403141,100.0,88.48167539267016,83.4869109947644,221.29092099885384,74.68855371446021,3.906669999651058,0.0,3.1400000000000023
voronoi,150.0,50.0,191,95.28795811518324,100.0,89.52879581151832,32.57068062827225,89.63867899819888,30.370003168986287,3.919807999864133,0.0,3.169999999999997
voronoi,150.0,100.0,191,92.14659685863874,100.0,83.7696335078534,16.654450261780106,49.89725400059797,16.34823021530589,3.917817000001378,0.0,3.2600000000000016
voronoi,150.0,200.0,191,84.29319371727748,100.0,75.91623036649214,8.167539267015707,24.361555999803382,7.883968361457551,3.9227610000125424,0.0,3.2800000000000007
voronoi,200.0,20.0,191,94.76439790575915,100.0,89.00523560209425,106.85340314136126,282.2697639940088,80.82683757818027,3.954441000132647,1.0471204188481675,3.3600000000000025
voronoi,200.0,50.0,191,94.24083769633508,100.0,87.95811518324608,43.64921465968586,119.68346699973154,35.759134656857356,3.96608500000184,0.0,3.3199999999999963
voronoi,200.0,100.0,191,91.62303664921467,100.0,86.91099476439791,21.104712041884817,65.19471599949611,17.359661211561278,3.9646590000756983,0.0,3.3600000000000017
voronoi,200.0,200.0,191,87.43455497382199,100.0,80.6282722513089,11.015706806282722,32.86499399951026,9.266613380026387,3.955132000101002,0.0,3.600000000000001
