policy,planner,prediction_horizon_ms,replan_period_ms,n,collision_free_%,completed_%,near_miss_free_%,replans_mean,planning_ms_median,planning_ms_per_sim_s_median,p95_call_ms_median,runs_with_call_over_budget_%,time_to_goal_s_median,best_collision_free_%
event,voronoi,200.0,50.0,191,91.62303664921467,100.0,86.38743455497382,16.0,29.254368002966658,7.081701239468585,0.0620729997535818,0.5235602094240838,3.7699999999999947,92.14659685863874
event,prm,20.0,20.0,167,84.4311377245509,100.0,43.712574850299404,2.970059880239521,22.31210300124076,8.170523623033022,0.0273420000667101,0.5988023952095809,2.680000000000002,84.4311377245509
event,visibility,100.0,100.0,167,70.65868263473054,100.0,56.287425149700596,3.9760479041916166,35.70433999857414,10.832963095261158,6.764625999949203,1.7964071856287425,2.860000000000001,70.65868263473054
cycle,voronoi,150.0,20.0,191,96.33507853403141,100.0,88.48167539267016,83.4869109947644,221.29092099885384,74.68855371446021,3.906669999651058,0.0,3.1400000000000023,96.33507853403141
cycle,prm,50.0,20.0,167,85.62874251497006,100.0,58.68263473053892,41.4251497005988,244.95764900143516,87.42129813494599,5.97280200008754,3.592814371257485,2.660000000000002,85.62874251497006
cycle,visibility,100.0,100.0,167,69.46107784431138,100.0,54.49101796407185,10.832335329341317,87.43421699978171,30.70249602275379,8.253864000153044,3.592814371257485,2.7800000000000007,69.46107784431138
