planner,policy,n,completed_%,collision_free_%,collisions_per_run,replans_per_run,planner_calls_per_run,planning_ms_per_run_median,planning_ms_per_run_iqr,max_call_ms_median,runs_with_call_over_16.7ms_%,time_to_goal_s_median,travelled_m_mean,min_clearance_mm_median
Voronoi,Plan once,3,100.0,66.66666666666666,0.3333333333333333,0.0,3.0,14.502325999956156,"14.5 [14.0, 15.7]",4.875177000030817,0.0,5.9799999999999605,15.697289674072337,97.94324804543578
Voronoi,Every cycle,3,100.0,100.0,0.0,173.0,509.0,720.0940750033169,"720.1 [542.6, 1051.0]",5.622051000045758,0.0,3.5833333333333255,11.566352541127468,30.41520646695983
Voronoi,Event-triggered,3,100.0,100.0,0.0,1.0,665.0,40.86180900094405,"40.9 [36.8, 44.3]",4.603251999924396,0.0,4.999999999999988,12.548036145248757,30.15157464818512
PRM,Plan once,3,100.0,66.66666666666666,0.3333333333333333,0.0,3.0,22.04441300000326,"22.0 [21.0, 25.5]",7.514955000033296,0.0,3.5200000000000027,11.170522767702751,15.17613183107261
PRM,Every cycle,3,100.0,100.0,0.0,134.33333333333334,417.3333333333333,766.9778589997804,"767.0 [727.3, 1125.1]",7.986054999946646,33.33333333333333,2.6166666666666623,9.02408944420182,30.728776827306405
PRM,Event-triggered,3,100.0,100.0,0.0,2.6666666666666665,504.6666666666667,49.5031359969289,"49.5 [38.0, 60.5]",7.695397999896159,0.0,3.21666666666666,10.228802037086217,32.662698198340166
Visibility graph,Plan once,3,100.0,0.0,1.6666666666666667,0.0,3.0,27.740427000026106,"27.7 [21.8, 29.6]",9.417852000069615,0.0,3.8000000000000025,6.723567613002709,-10.18510659924928
Visibility graph,Every cycle,3,100.0,0.0,1.3333333333333333,264.6666666666667,600.0,2558.48798699958,"2558.5 [1960.5, 2569.7]",14.928024000028016,33.33333333333333,3.816666666666658,6.764534559364879,-3.651732697000256
Visibility graph,Event-triggered,3,100.0,0.0,1.3333333333333333,26.333333333333332,598.3333333333334,234.2304779956521,"234.2 [213.1, 252.6]",9.254004000013085,0.0,3.816666666666658,6.795865871015804,-2.4877880144187543
