planner,policy,pred,period,n,cf,coll_prob_ci,completed,contact_ms,replans,plan_ms,rebuild_share,check_ms,rebuild_ms,blocked,later,finished,other,shift,turn_per_m,sharp,min_rr,min_ro,ttg,eff
prm,cycle,0.0,20,146,53.42465753424658,39-55,100.0,148.90410958904116,63.43835616438356,474.2270044994257,0.8361224255662488,0.14133276584434026,6.434314725389156,0.0,0.0,0.0,0.0,91.20081839224811,0.726500713506644,3.9726027397260273,72.62893358920591,7.512916543377116,2.820000000000002,0.9677226165031909
prm,cycle,0.0,100,146,37.67123287671233,54-70,100.0,197.3972602739726,10.897260273972602,89.1346199985037,0.8341525805244697,0.13946836516572575,5.1033975496554635,0.0,0.0,0.0,0.0,233.73716409768633,0.3721762689657465,1.9794520547945205,36.982208078336555,13.019916151964367,2.820000000000001,0.9695059326903522
prm,cycle,50.0,20,146,65.75342465753424,27-42,100.0,118.35616438356166,90.28082191780823,670.0956094987305,0.8787370110395024,0.13764305684944372,6.352950197768333,0.0,0.0,0.0,0.0,92.91496022305104,1.0315576011069576,6.7534246575342465,159.08992989983508,40.937404195387984,3.0400000000000023,0.9355665159255153
prm,cycle,50.0,100,146,54.109589041095894,38-54,100.0,162.87671232876713,16.643835616438356,135.18676050125578,0.8784548689457023,0.14031768957114552,5.450727256195647,0.0,0.0,0.0,0.0,259.7929025780842,0.566544390484207,3.73972602739726,145.7824768057164,39.68345773551606,3.090000000000001,0.9361628924517212
prm,cycle,150.0,20,146,63.6986301369863,29-44,100.0,136.30136986301366,115.93150684931507,785.6387795027331,0.891076776466552,0.1479328573579332,6.278087847880001,0.0,0.0,0.0,0.0,121.465400130042,1.4355861598893584,11.39041095890411,143.51573382824645,66.70339304753004,3.320000000000003,0.8729998690218219
prm,cycle,150.0,100,146,54.794520547945204,37-53,100.0,181.5068493150685,22.315068493150687,161.1166069983483,0.9006547130294045,0.14273277310334725,5.683715099423949,0.0,0.0,0.0,0.0,270.55577173177164,0.6831623645278838,5.376712328767123,133.95452029462805,64.53171558524396,3.370000000000002,0.8774251064918629
prm,event,0.0,20,146,54.109589041095894,38-54,100.0,170.82191780821924,7.068493150684931,68.92952300222532,0.8216696130178557,0.018915072745056348,4.630867704403465,7.054794520547945,0.0,0.0,0.0136986301369863,376.4478395299944,0.502587816590927,2.6232876712328768,51.21087836672142,5.85936553390934,3.0200000000000022,0.961090228550666
prm,event,0.0,100,146,36.986301369863014,55-70,100.0,233.2876712328767,4.0479452054794525,42.35534799954621,0.9376634516162544,0.019807956708345016,3.9454558289028525,3.9726027397260273,0.04794520547945205,0.0,0.0273972602739726,384.8988647093616,0.3203325814316819,1.6575342465753424,16.954505104782314,9.674988844527263,2.9400000000000013,0.964936238939436
prm,event,50.0,20,146,63.013698630136986,30-45,100.0,145.89041095890394,9.027397260273972,84.30240699794922,0.8316501097567601,0.019855723195532134,4.816926203282197,8.767123287671232,0.13013698630136986,0.0,0.13013698630136986,408.8196310436425,0.6581720771376656,4.226027397260274,140.48817443752117,40.80711538377669,3.4000000000000026,0.9155343604711202
prm,event,50.0,100,146,54.794520547945204,37-53,100.0,172.46575342465758,5.321917808219178,50.65218549907513,0.9422208895398951,0.021116824704692574,4.256876272228891,5.095890410958904,0.11643835616438356,0.0,0.1095890410958904,438.05729900822433,0.44224685908858835,3.006849315068493,108.50016137389409,37.29188003675685,3.4200000000000017,0.9191497125066809
