planner,policy,n,completed_%,collision_free_%,collisions_per_run,replans_per_run,planner_calls_per_run,planning_ms_per_run_median,planning_ms_per_run_iqr,max_call_ms_median,runs_with_call_over_16.7ms_%,time_to_goal_s_median,travelled_m_mean,min_clearance_mm_median
Voronoi,Plan once,57,100.0,63.1578947368421,0.47368421052631576,0.0,3.0,13.84569900005772,"13.8 [13.6, 14.3]",4.7317470000507456,0.0,5.279999999999975,15.045212956343578,21.65411649886596
Voronoi,Every cycle,57,89.47368421052632,87.71929824561403,14.456140350877194,271.7368421052632,610.7719298245614,584.6250299997564,"584.6 [353.4, 977.7]",6.202592000022378,1.7543859649122806,2.549999999999996,10.707394892132399,1.2437566185605249
Voronoi,Event-triggered,57,94.73684210526315,96.49122807017544,7.491228070175438,25.94736842105263,652.5263157894736,46.60527499845557,"46.6 [30.7, 56.3]",4.7453849999783415,0.0,3.299999999999993,11.59611084613932,1.0191449298635575
PRM,Plan once,51,100.0,47.05882352941176,0.803921568627451,0.0,3.0,20.03596200006541,"20.0 [19.6, 21.3]",6.875927999999476,1.9607843137254901,3.940000000000003,10.750217563686792,-5.317312215629045
PRM,Every cycle,51,100.0,92.15686274509804,0.0784313725490196,116.31372549019608,407.2156862745098,771.5834630009795,"771.6 [573.9, 1022.9]",9.083205000024464,13.725490196078432,2.583333333333329,8.754117130654345,1.1888731886120638
PRM,Event-triggered,51,100.0,92.15686274509804,0.0784313725490196,4.196078431372549,477.37254901960785,54.72239699884085,"54.7 [42.2, 75.3]",7.128917999921214,0.0,3.1999999999999935,9.439467201463447,1.5835959035070744
Visibility graph,Plan once,51,100.0,0.0,4.509803921568627,0.0,3.0,29.893517999880714,"29.9 [22.9, 33.2]",10.144141000068885,0.0,3.5400000000000027,6.444946741233442,-54.312828739553126
Visibility graph,Every cycle,51,100.0,0.0,3.7450980392156863,240.23529411764707,538.3529411764706,2220.971664999979,"2221.0 [1810.8, 2517.9]",13.577736000002004,25.49019607843137,3.483333333333326,6.563429318490804,-51.83034776292587
Visibility graph,Event-triggered,51,100.0,0.0,3.4705882352941178,44.98039215686274,555.4705882352941,397.0405179991303,"397.0 [322.9, 548.2]",11.118678000002546,5.88235294117647,3.599999999999992,6.572120923573836,-53.48295587576443
