planner,policy,n,attempts_median,failures_median,success_rate_median,runs_with_failure_pct,cf_no_failure,cf_with_failure,n_clean,n_failed,gap_pts
voronoi,cycle,876,49.0,1.0,98.30508474576271,59.018264840182646,61.55988857938719,69.43907156673113,359,517,-7.879182987343938
voronoi,event,876,13.0,0.0,100.0,47.6027397260274,58.605664488017425,62.829736211031175,459,417,-4.224071723013751
prm,cycle,876,46.0,13.0,68.34415584415585,90.52511415525115,87.95180722891565,51.45018915510718,83,793,36.50161807380847
prm,event,876,16.0,9.0,35.714285714285715,87.44292237442922,89.0909090909091,48.17232375979113,110,766,40.91858533111797
visibility,cycle,876,56.0,17.0,69.23076923076923,92.8082191780822,96.82539682539682,34.686346863468636,63,813,62.13904996192819
visibility,event,876,28.0,15.0,42.30769230769231,90.41095890410958,94.04761904761905,33.45959595959596,84,792,60.58802308802309
