scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,collision_probability,collision_probability_ci95,contact_time_ms_mean,rebuild_share_of_planning_time,check_call_ms_mean,rebuild_call_ms_mean,replans_active_blocked_mean,replans_route_finished_mean,replans_route_blocked_mean,direct_path_switches_mean,path_shift_mm_mean,heading_change_rad_per_m_mean,sharp_turns_mean,path_efficiency_mean
random,voronoi,once,0.0,20.0,30.0,kinematic,0,200,200,155,0.775,49,310,0.24,6.0,0.0,0,10.431549984787125,36.33940001600422,12.440858998088515,1.7385916641311874,41.097499983152375,6295.612903225756,6140.299999999954,48.58063299929199,149.35535900442358,25769.62394284549,25122.036317943046,231.47537020901552,-176.74322005615355,0.14,5.917300011788029,1.9436695864813327,0.76,0.696-0.814,319.60000000000014,0.9973545636980955,0.13433265314456455,2.156029104790286,0.0,0.0,0.0,0.0,0.0,0.19834444521883865,0.495,0.9780943328540249
random,voronoi,cycle,0.0,20.0,30.0,kinematic,0,200,200,153,0.765,49,204,0.715,696.72,85.395,4799,400.23474992631236,1519.6108999080025,637.875032498705,0.5788275453281169,930.2708999894094,3085.228758169936,3496.800000000001,729.9357470003451,7.931339876531683,25769.62394284549,24361.68559323147,234.8404064718037,-175.6756207271649,0.225,5.4862999968463555,162.57544866320083,0.28500000000000003,0.227-0.351,97.8999999999992,0.9473646281906464,0.05544328401914371,6.629733878170402,0.0,0.0,0.0,5.64,90.34053775978306,1.1245742171847575,7.48,1.0090968493429515
random,voronoi,cycle,0.0,100.0,30.0,kinematic,0,200,200,155,0.775,49,217,0.565,140.945,15.255,708,84.81304993620142,279.67189994524233,113.94265598457423,0.6140501449933223,111.06280001695268,3150.1935483870966,3289.5,148.18140099974698,31.420501619380484,25769.62394284549,24346.352344730323,231.5221811344674,-172.9040719943733,0.295,5.564049999520648,33.30329391918113,0.43500000000000005,0.368-0.504,132.7000000000022,0.9425259668049546,0.05460244292649404,5.111561732136372,0.0,0.0,0.0,4.995,245.71602336577698,0.6878700803458525,4.33,1.0079671436235385
random,voronoi,cycle+pred50,50.0,20.0,30.0,kinematic,0,200,200,154,0.77,49,117,0.88,706.78,101.71,4566,581.0031999426428,1798.0889998871135,723.874711979588,0.8281285779643414,292.6583000080427,3306.753246753247,3417.8000000000006,817.5400089997856,6.0098368379709495,25839.919336205785,24652.63070575766,232.35704268055946,-176.0493060655649,0.375,5.781200001365505,208.67054869219453,0.12,0.082-0.172,73.69999999999919,0.9495477216217099,0.06093811848493495,6.396069264409708,0.0,0.0,0.0,6.715,79.20560036176093,1.2496722352106007,7.435,0.9945196695281916
random,voronoi,cycle+pred50,50.0,100.0,30.0,kinematic,0,200,200,154,0.77,49,116,0.83,145.04,20.68,736,123.83365002460778,429.91709990019444,159.86597800962045,0.8753658490857553,192.61130000813864,3400.5194805194797,3501.2999999999993,197.36585050028225,24.690688997481498,25839.919336205785,24695.16486629117,232.34569366045605,-175.30965673244845,0.515,5.874300004506949,44.17788603088165,0.17000000000000004,0.124-0.228,90.59999999999944,0.9552069108372258,0.06037596228724796,5.776625193967899,0.0,0.0,0.0,5.53,226.9367171896761,0.8287411393422127,5.08,0.9929273370718008
random,voronoi,cycle+pred150,150.0,20.0,30.0,kinematic,0,200,200,156,0.78,48,84,0.925,776.235,173.5,5766,846.7770499337348,3118.733999901451,1116.5018020121352,1.1316761435495404,1557.044399989536,3716.79487179487,3965.7999999999975,1233.4991469990928,4.753580058136354,25996.894206511028,26016.49986290236,233.5150000671904,-174.49449295848967,0.46,6.208499995409511,271.59013090127377,0.07499999999999996,0.046-0.120,55.89999999999912,0.9557617413347644,0.08273729304847692,5.952860127716839,0.0,0.0,0.0,11.845,91.69627217107734,2.6561782255213884,19.09,0.9502381490978452
random,voronoi,cycle+pred150,150.0,100.0,30.0,kinematic,0,200,200,157,0.785,48,91,0.865,157.92,33.085,1032,182.93400001130067,595.6457999127451,231.4339329989889,1.1140525297710226,253.64239999908023,3779.7452229299324,3882.9999999999964,275.0888204988587,19.924831140186743,25996.894206511028,26085.636645468312,232.3484542730139,-172.54264021670912,0.51,6.30194999394007,58.65700808460712,0.135,0.094-0.189,62.99999999999957,0.9547998737032397,0.08785087550627961,5.6885851460439865,0.0,0.0,0.0,7.92,234.02522815920653,1.39574989460588,9.93,0.9458626112688195
random,voronoi,event,0.0,20.0,30.0,kinematic,0,200,200,155,0.775,49,162,0.735,717.53,7.02,2767,72.28405030036811,202.58650032337755,91.31593551544938,0.10090223641075655,107.20189999847207,3626.9677419354784,3728.6999999999957,190.32354149923776,22.307105274133413,25769.62394284549,24333.74156097744,231.5126322380858,-155.99028008961955,0.185,0.07100001676008105,26.118993010980248,0.265,0.209-0.330,99.09999999999911,0.5248064177510505,0.061571392205802676,3.751325949232792,6.75,0.0,0.215,5.385,376.72432804179334,0.5752314020129091,3.32,1.0075134872177574
random,voronoi,event,0.0,100.0,30.0,kinematic,0,200,200,155,0.775,49,197,0.545,146.925,4.59,384,35.79625003476394,133.38160020066425,44.62231799843721,0.23818087021495696,114.28130000422243,3642.0645161290263,3747.9999999999945,85.52663449954707,52.16676349758012,25769.62394284549,24372.761712491556,231.51489008041256,-169.93728941433767,0.23,0.11085000005550683,12.76214796307869,0.45499999999999996,0.387-0.524,136.00000000000227,0.8028574624947825,0.06440882266493374,3.4630605122146507,4.515,0.0,0.06,4.7,377.3597011782667,0.5361993461815892,3.3,1.0053051790596454
random,voronoi,event+pred50,50.0,20.0,30.0,kinematic,0,200,200,154,0.77,49,108,0.895,752.61,12.86,2983,86.54894985374995,297.4926002789289,108.80817896671942,0.11103158678878883,133.95550000132062,3917.53246753246,4015.099999999993,215.03613200118707,21.876732128389527,25839.919336205785,24767.830823058124,232.28179173306202,-155.99028008961955,0.365,0.07475000893464312,29.062654411800622,0.10499999999999998,0.070-0.155,68.09999999999911,0.5813509112563553,0.0620609744920231,3.398105506013802,11.1,0.0,1.675,6.2,267.6652976147068,0.7675570077937006,4.82,0.9910312475855982
