scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,replan_count,replan_failures,replan_attempts,blocked_robot_ms,blocked_time_pct,any_replan_failure,rebuild_calls,check_calls,planner_calls,planning_time_ms_total,planning_time_ms_initial,planning_time_ms_max_call,planning_time_ms_p95_call,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_blocked,replans_route_finished,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns
random-s0-0000,voronoi,once,0.0,20.0,0.0,1,0,0,0,0,0.0,0.0,False,6,0,6,3.849599976092577,3.849599976092577,3.690499986987561,3.690499986987561,3.849599976092577,0.0,0,0,0,0,0,0,0.0,0.0,0.0589823947024712,0
random-s0-0000,voronoi,cycle,0.0,20.0,0.0,1,0,57,0,57,0.0,0.0,False,63,632,695,186.73649939592,3.121899993857369,3.869800013490021,2.897400001529604,172.5759998080321,14.160499587887898,0,0,0,57,0,5,93.2498180734254,750.0,0.7745332022831758,4
random-s0-0000,voronoi,cycle,0.0,50.0,0.0,1,0,24,0,24,0.0,0.0,False,30,250,280,82.46760012116283,3.860800003167242,5.045500001870096,2.936000004410744,76.97890000417829,5.488700116984546,0,0,0,24,0,5,139.2872040038673,656.8292045278936,0.4873199739412442,1
random-s0-0000,voronoi,cycle,0.0,100.0,0.0,1,0,12,0,12,0.0,0.0,False,18,124,142,40.70190011407249,2.963499980978668,3.3190999820362777,2.8796000115107745,37.98999998252839,2.7119001315440983,0,0,0,12,0,4,228.2292898940356,670.0227509452296,0.407331832400745,1
random-s0-0000,voronoi,cycle,50.0,20.0,0.0,1,0,95,2,97,40.0,0.23809523809523794,True,101,616,717,335.44830029131845,3.09660003404133,7.350900006713346,3.068099991651252,314.8414000752382,20.60690021608025,0,0,0,95,0,5,79.55797380102632,750.0,0.6491346266605135,2
random-s0-0000,voronoi,cycle,50.0,50.0,0.0,1,0,38,0,38,0.0,0.0,False,44,245,289,132.5439998472575,2.896899997722357,5.562399979680777,3.1336999963968992,126.58069995814004,5.963299889117479,0,0,0,38,0,5,169.63580634100958,750.0,0.6578685069191554,3
random-s0-0000,voronoi,cycle,50.0,100.0,0.0,1,0,18,0,18,0.0,0.0,False,24,122,146,77.1532999642659,7.295400049770251,7.187800016254187,3.927399986423552,74.05090006068349,3.102399903582409,0,0,0,18,0,5,225.82567782113043,750.0000000000001,0.6461976048608363,3
random-s0-0000,voronoi,cycle,100.0,20.0,0.0,1,0,113,7,120,140.0,0.7936507936507929,True,119,613,732,428.01800003508106,3.0172999831847847,7.100800023181364,3.500200022244826,389.06120002502576,38.9568000100553,0,0,0,113,0,6,110.8086998823575,750.0,1.5878258418432594,10
random-s0-0000,voronoi,cycle,100.0,50.0,0.0,1,0,45,1,46,50.0,0.2923976608187137,True,51,242,293,161.05520020937547,4.083900013938546,5.250299989711493,3.458799998043105,151.63490001577884,9.420300193596631,0,0,0,45,0,5,150.35748689071565,750.0,0.9128102864363944,3
random-s0-0000,voronoi,cycle,100.0,100.0,0.0,1,0,28,1,29,100.0,0.511247443762781,True,34,123,157,80.32720003393479,4.111499962164089,5.171299999346957,3.1719999969936907,73.78889992833138,6.538300105603412,0,0,0,28,0,16,341.7989408468847,718.3663166666478,2.094106102692026,15
