scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,collision_probability,collision_probability_ci95,contact_time_ms_mean,rebuild_share_of_planning_time,check_call_ms_mean,rebuild_call_ms_mean,replans_active_blocked_mean,replans_route_finished_mean,replans_route_blocked_mean,direct_path_switches_mean,path_shift_mm_mean,heading_change_rad_per_m_mean,sharp_turns_mean,path_efficiency_mean
random,voronoi,once,0.0,20.0,kinematic,0,200,200,196,0.98,4,611,0.075,6.0,0.0,0,8.625622000408839,13.940924000507948,7.700153054961447,1.4376036667348064,13.043602999914583,6195.5102040815855,6168.999999999953,45.90151557501031,136.32577061600603,26721.31314210343,26060.723433006784,74.50725129373537,-178.45904096242788,0.055,4.3887405001896695,1.2145130677827107,0.925,0.880-0.954,699.1000000000003,0.9889423886260313,4.257265000092048,1.2734126680534459,0.0,0.0,0.0,0.0,0.0,0.19183131231757894,0.49,0.934384994727605
random,voronoi,cycle,0.0,20.0,kinematic,0,200,200,196,0.98,4,228,0.525,708.695,86.39,495,311.93488900180455,1046.2792009952864,391.7532909204806,0.4702684164250579,16.937189000145736,3143.6734693877556,3144.7000000000007,460.7876101850002,9.045957464193906,26721.31314210343,25326.13314248334,74.52700492430624,-173.9139809911082,0.17,4.300713500242637,117.02210340710087,0.475,0.407-0.544,175.99999999999991,0.9244918789684414,0.04799505927122094,3.92089137182143,0.0,0.0,0.0,8.795,101.48267833483897,1.2038464181705273,6.855,0.959080381042047
random,voronoi,cycle,0.0,100.0,kinematic,0,200,200,196,0.98,4,209,0.43,145.335,16.865,105,70.82632799892963,187.50269699830824,80.82852498009288,0.4973182400579803,12.441749000117852,3150.30612244898,3150.2000000000007,110.25263525999435,34.3344354271808,26721.31314210343,25443.943747623205,74.54308181348333,-172.85732940191187,0.22,4.311944999699335,24.25537484080131,0.5700000000000001,0.501-0.637,169.5,0.9249236671513335,0.04954126251181496,3.272497952944656,0.0,0.0,0.0,5.9,251.66944583236932,0.7044850381102747,4.12,0.9549210914473444
random,voronoi,cycle+pred50,50.0,20.0,kinematic,0,200,200,196,0.98,4,58,0.765,743.045,126.93,797,504.5906409939107,1215.8810409987382,552.9035813501855,0.7019482665331775,25.180076000197005,3454.591836734693,3448.6999999999994,628.8610533050178,6.80928929350568,26993.850779997894,25965.097429250673,74.52046291437006,-173.55131655967963,0.405,4.362563999848135,152.25489396688346,0.235,0.182-0.298,97.0999999999997,0.9351270825692584,0.058787757430884165,3.8901144606883844,0.0,0.0,0.0,10.245,83.98289424819158,1.5749754784908032,9.415,0.9369784146481109
random,voronoi,cycle+pred50,50.0,100.0,kinematic,0,200,200,196,0.98,4,92,0.64,152.285,25.16,163,105.54345300170098,251.05367599644524,114.95985842525897,0.7133035826299536,9.738897000261204,3477.4489795918357,3473.099999999999,147.33855802500102,27.617666054576194,26993.850779997894,26084.86395633715,74.50354529721395,-172.85732940191187,0.42,4.364169499922355,31.558115977469114,0.36,0.297-0.429,135.60000000000002,0.9349032651679292,0.061773176113264966,3.4513920040146915,0.0,0.0,0.0,6.785,232.01252866967405,0.9240124572926922,5.88,0.9328328340896515
random,voronoi,cycle+pred150,150.0,20.0,kinematic,0,200,200,191,0.955,9,39,0.84,819.3,208.635,1763,773.9656354981435,1503.5042899999098,790.8340208449522,0.941376945157474,23.075595000136673,3941.047120418844,3924.999999999996,880.1418951900087,5.500750240282137,27344.811413851337,27577.32699262886,88.08370660711384,-172.84734873838002,0.67,4.467410499955804,193.45460895078705,0.16000000000000003,0.116-0.217,67.59999999999943,0.9268576326822484,0.0956548964627927,3.4157721627519297,0.0,0.0,0.0,17.94,100.47969312647145,3.379179492790361,24.545,0.8872143932875697
random,voronoi,cycle+pred150,150.0,100.0,kinematic,0,200,200,191,0.955,9,84,0.69,169.435,42.69,350,160.6239930022184,302.52319499686564,167.57923649014404,0.9560621762770256,24.662093999722856,4036.963350785334,4019.9999999999936,205.9133224100151,22.738811290623804,27344.811413851337,27854.801369019515,88.03966534931082,-174.8531933890576,0.545,4.473616000041147,40.10964121850281,0.31000000000000005,0.250-0.377,108.1,0.9298673377663206,0.09729926310241835,3.2033396751979217,0.0,0.0,0.0,10.245,239.0736669792247,1.76060004153274,13.625,0.8769995209254899
random,voronoi,event,0.0,20.0,kinematic,0,200,200,196,0.98,4,160,0.495,737.92,10.825,294,63.08182199541079,124.8463289944084,69.0841834494131,0.08728871239455196,12.541730000066309,3431.326530612244,3430.799999999999,146.53024568999172,24.003935749285628,26721.31314210343,25401.027628141655,74.50795075164295,-172.85732940191176,0.175,0.052720999974553706,20.21110633738824,0.505,0.436-0.574,156.9999999999998,0.5664370223551493,0.04153615482203347,2.3285831100816687,10.59,0.0,0.225,7.54,363.68529495363697,0.6955433090377393,3.89,0.9566216222296863
random,voronoi,event,0.0,100.0,kinematic,0,200,200,196,0.98,4,239,0.37,151.11,6.085,77,30.62108099766192,54.9287550002191,31.830629330197553,0.19657689651127608,13.758842999777698,3526.122448979589,3524.399999999997,65.48489675999008,55.47255107709547,26721.31314210343,25398.279376487935,74.50282264864207,-172.85732940191187,0.175,0.06287199994403636,9.081075437535553,0.63,0.561-0.694,228.2,0.8033006919173926,0.04502903926846565,2.119317576884687,6.025,0.0,0.055,5.665,350.4098786845389,0.5713691191862789,3.595,0.9566603800044738
random,voronoi,event+pred50,50.0,20.0,kinematic,0,200,200,196,0.98,4,76,0.69,782.94,21.195,440,78.51712000115185,148.30937699525748,85.84048997475293,0.1032479052980129,20.63168000040605,3851.3265306122394,3840.3999999999946,170.82622304999404,23.211085833327907,26993.850779997894,26029.442422448246,74.52819422829093,-175.4103057635415,0.325,0.05419249987426156,22.85233605588464,0.31000000000000005,0.250-0.377,122.89999999999965,0.5981420815514596,0.04564339526156545,1.8894134077238607,19.435,0.0,1.565,9.2,270.4196988844171,0.9536592482349956,5.59,0.9345207765223289
