scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_time_ms_p95_call,straight_line_mm,replan_period_ms,rebuild_calls,check_calls,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_finished,replans_route_blocked,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,voronoi,1,0,completed,True,False,6,6,0,,6.570341000497137,1.0950568334161896,3560.0000000000027,28.37203099988983,125.47568413462633,178,0,1,1,25121.943430832205,24699.528945348517,58.704761342755226,59.27079673745914,-40.19323126347044,20.0,kinematic,False,0,0.0,,,,random,once,0,0,6.570341000497137,6.146450999949593,3560.0000000000027,0.0,6.146450999949593,24532.51069962512,20.0,6,0,6.570341000497137,0,0,0,0,0,0,0,0.0,0.0,0.058982394702471234,0,680.7020006761659,-40.19323126347044,259.99999999999994
random-s0-0000,voronoi,1,0,completed,True,False,6,672,0,,228.9901199974338,0.3407591071390384,2720.000000000002,288.9033419996849,9.414913587268119,136,0,0,0,25121.943430832205,24648.829437213004,58.575274215158394,59.85959166527332,156.87319637073887,20.0,kinematic,False,0,0.0,,,,random,cycle,45,4,4.463112999928853,4.3352780003260705,2720.000000000002,0.0,4.1960739999922225,24532.51069962512,20.0,51,621,194.27013799986526,34.71998199756854,0,0,0,45,0,6,97.14481791384591,750.0,0.5184285029301068,1,492.0387621552528,156.87319637073887,0.0
random-s0-0000,voronoi,1,0,completed,True,False,6,140,0,,54.15585599666883,0.3868275428333488,2840.0000000000014,80.11013499981345,35.45119478336436,142,0,0,0,25121.943430832205,24983.6644886539,58.53192096494275,59.36336700821727,137.77480367313092,20.0,kinematic,False,0,0.0,,,,random,cycle,10,1,4.392103000100178,4.278049999811628,2840.0000000000014,0.0,4.201854999791976,24532.51069962512,100.0,16,124,46.39685499932966,7.759000997339172,0,0,0,10,0,5,218.59712843769853,745.5255646516817,0.3510983422767917,2,586.7061780294972,137.77480367313092,0.0
random-s0-0000,voronoi,1,0,completed,True,False,6,695,0,,377.3172269943643,0.5429024848839774,2900.0000000000023,441.4029740000842,6.569960264924379,145,0,0,0,25098.644610592088,24839.366258091995,58.6524753557701,59.82407553251406,200.9251094074537,20.0,kinematic,False,0,0.0,,,,random,cycle,81,3,4.338090999681299,5.676715999925364,2900.0000000000023,50.0,4.218846999719972,24532.51069962512,20.0,87,608,346.8738570018104,30.443369992553926,0,0,0,81,0,7,66.57526607260594,750.0,0.761970659351064,3,437.2367578307334,200.9251094074537,0.0
random-s0-0000,voronoi,1,0,completed,True,False,6,141,0,,76.90391700225518,0.545417851079824,2940.0000000000014,103.85111900041011,28.30975754809528,147,0,0,0,25098.644610592088,25091.886014762516,59.106722216052674,59.87736808755944,183.46576933500694,20.0,kinematic,False,0,0.0,,,,random,cycle,15,1,4.311596000661666,5.225028000040766,2940.0000000000014,50.0,4.236860000219167,24532.51069962512,100.0,21,120,68.92329800166408,7.980619000591105,0,0,0,15,0,6,230.9382108084311,644.3877839637541,0.42709573034927706,0,219.61354181444437,183.46576933500694,0.0
random-s0-0000,voronoi,1,0,completed,True,False,6,832,0,,523.1231500001741,0.6287537860579016,4419.999999999994,609.12677000033,7.256289195757394,221,0,0,0,25075.413153749298,27415.882261826006,58.523963415207454,59.927263672670065,133.36988999581274,20.0,kinematic,False,0,0.0,,,,random,cycle,170,9,4.2353519997959665,4.726431000108278,4419.999999999994,150.0,4.371501000150602,24532.51069962512,20.0,176,656,464.59023599891225,58.532914001261815,0,0,0,170,0,16,89.0305405002285,750.0,2.54941418979092,15,267.45456871706233,133.36988999581274,0.0
random-s0-0000,voronoi,1,0,completed,True,False,6,191,0,,263.8618039991343,1.381475413608033,4379.999999999994,317.3432319999847,13.802090475968319,219,0,0,0,25075.413153749298,32221.9914465975,58.47673313933481,59.6495952913906,82.99998032669976,20.0,kinematic,False,0,0.0,,,,random,cycle,52,2,4.727645000457414,24.662093999722856,4379.999999999994,150.0,8.407458999954542,24532.51069962512,100.0,58,133,242.35586599797898,21.5059380011553,0,0,0,52,0,20,354.5554573935654,750.0,3.2513058539856483,33,107.45241397944562,82.99998032669976,0.0
random-s0-0000,voronoi,1,0,completed,True,False,6,673,0,,68.09381599578046,0.10117951856728151,2740.000000000002,133.42940899974565,20.535203000151377,137,0,0,0,25121.943430832205,24876.61559965925,58.867212078162545,59.750343145019556,125.26476522160993,20.0,kinematic,False,0,0.0,,,,random,event,5,5,4.360454000561731,4.842519000249013,2740.000000000002,0.0,0.05244700014372938,24532.51069962512,20.0,11,662,25.903816001118685,42.189999994661775,5,0,0,0,0,6,426.5162618238677,597.6688902126402,0.3069151265585059,0,416.6284122470538,125.26476522160993,0.0
random-s0-0000,voronoi,1,0,completed,True,False,6,140,0,,29.800062999129295,0.21285759285092354,2860.0000000000014,60.33000500019625,47.4059301004649,143,0,0,0,25121.943430832205,25100.83399825029,58.31551359293902,58.935152752896094,137.77480367313092,20.0,kinematic,False,0,0.0,,,,random,event,4,1,4.318258000239439,4.5359040000221285,2860.0000000000014,0.0,0.0676099998599966,24532.51069962512,100.0,10,130,21.478416000718425,8.32164699841087,4,0,0,0,0,5,381.4355308162459,467.0198383333749,0.25047843860935814,0,301.13900086711726,137.77480367313092,0.0
random-s0-0000,voronoi,1,0,completed,True,False,6,704,0,,77.17100300396851,0.10961790199427345,3000.0000000000023,146.3220780001393,20.50271593325203,150,0,0,0,25098.644610592088,25265.750855015605,58.815694439611775,59.68745744374634,157.22860151735256,20.0,kinematic,False,0,0.0,,,,random,event,11,1,4.30287699919063,4.3498959998942155,3000.0000000000023,50.0,0.05437300023913849,24532.51069962512,20.0,17,687,51.09011899867255,26.080884005295957,6,0,5,0,0,7,267.603897247703,510.44131150300376,0.5719359121909934,2,310.3094239678043,157.22860151735256,0.0
random-s0-0000,voronoi,1,0,completed,True,False,6,156,0,,38.7666249994254,0.2485040064065731,3680.000000000002,72.87365000001955,50.49836257685754,184,0,1,1,25098.644610592088,27154.125123326987,58.18922945100193,58.94640416810556,-40.98034253700661,20.0,kinematic,False,0,0.0,,,,random,event,7,0,4.372905999844079,4.352145999746426,3680.000000000002,50.0,4.201706000003469,24532.51069962512,100.0,13,143,34.16720099949089,4.5994239999345155,6,0,1,0,0,6,367.32925749583046,748.5532048401783,0.41287915540955017,0,804.5875755797097,-40.98034253700661,340.0
random-s0-0000,voronoi,1,0,completed,True,False,6,874,0,,177.1062379916657,0.20263871623760377,4399.9999999999945,280.126866000046,15.707168908244853,220,0,0,0,25075.413153749298,28827.476624225696,58.48070399829592,59.10379749355029,134.32857611316592,20.0,kinematic,False,0,0.0,,,,random,event,95,6,4.277717000150005,4.5535600002040155,4399.9999999999945,150.0,0.07149300017772475,24532.51069962512,20.0,101,773,126.29088999847227,50.81534799319343,75,0,17,0,3,13,112.44969219263042,750.0,2.1850595539207123,16,267.45456871706233,134.32857611316592,0.0
random-s0-0000,voronoi,1,0,completed,True,False,6,189,0,,96.81161000253269,0.5122307407541412,4319.9999999999945,138.46856700001808,31.198416316386307,216,0,0,0,25075.413153749298,31582.57133377343,58.50438419425751,59.7238528775401,83.07518100611128,20.0,kinematic,False,0,0.0,,,,random,event,31,2,4.3059260005975375,8.268474000033166,4319.9999999999945,150.0,4.352640999968571,24532.51069962512,100.0,37,152,83.19626600086849,13.615344001664198,24,0,5,0,2,19,400.796494457425,750.0,2.675556213168304,27,116.0088676819077,83.07518100611128,0.0
random-s0-0000,prm,1,0,completed,True,False,6,6,0,,15.521193000040512,2.586865500006752,2780.000000000002,32.466241999827616,85.62740338148045,139,0,0,0,24813.34037345258,24415.98768194052,58.598671525453454,58.899738371847505,137.77480367313098,20.0,kinematic,False,0,0.0,,,,random,once,0,0,15.521193000040512,15.404907000174717,2780.000000000002,0.0,15.404907000174717,24532.51069962512,20.0,6,0,15.521193000040512,0,0,0,0,0,0,0,0.0,0.0,0.0350948094631807,0,680.7020006761659,137.77480367313098,0.0
random-s0-0000,prm,1,0,completed,True,False,6,665,0,,327.69156599624694,0.4927692721748074,2700.000000000002,389.2200180002874,6.936950503912695,135,0,0,0,24813.34037345258,24382.28549683433,58.71506817991297,59.800765705163826,110.77916443909396,20.0,kinematic,False,0,0.0,,,,random,cycle,36,23,7.616692000283365,6.949525999971229,2700.000000000002,0.0,6.2569730002906,24532.51069962512,20.0,42,623,241.45162200011328,86.23994399613366,0,0,0,36,0,4,30.7678296786097,407.5411257752987,0.15874288035324446,0,492.75557706620566,110.77916443909396,0.0
random-s0-0000,prm,1,0,completed,True,False,6,135,0,,70.97539100277572,0.525743637057598,2660.000000000001,97.40052899996954,27.309913275736243,133,0,0,0,24813.34037345258,24356.805641985018,58.54193796567879,59.0073030172619,137.77480367313092,20.0,kinematic,False,0,0.0,,,,random,cycle,7,5,7.767503999730252,7.084828000188281,2660.000000000001,0.0,6.343638000089413,24532.51069962512,100.0,13,122,54.20720800066192,16.7681830021138,0,0,0,7,0,4,132.90424591469232,355.83409714000527,0.16868950012268857,0,584.191881404422,137.77480367313092,0.0
random-s0-0000,prm,1,0,completed,True,False,6,662,0,,512.7802919932947,0.7745925860925902,2880.0000000000023,577.2310900001685,4.989336246596076,144,0,0,0,24813.34037345258,24574.13270647637,58.50953259801158,59.092410330420996,59.269366660572274,20.0,kinematic,False,0,0.0,,,,random,cycle,68,41,7.5775329996758956,7.170528999722592,2880.0000000000023,50.0,6.278128999838373,24532.51069962512,20.0,74,588,434.0909709976586,78.68932099563608,0,0,0,68,0,6,25.94426197830473,345.62965050365074,0.20189684767554705,0,372.53286729024717,59.269366660572274,0.0
