planner,policy,n,completed_%,collision_free_%,collisions_per_run,replans_per_run,planner_calls_per_run,planning_ms_per_run_median,planning_ms_per_run_iqr,max_call_ms_median,runs_with_call_over_16.7ms_%,time_to_goal_s_median,travelled_m_mean,min_clearance_mm_median,near_miss_free_%,p95_call_ms_median,planning_ms_per_sim_s_median,path_efficiency_mean
Voronoi,Plan once,199,100.0,67.33668341708542,0.4120603015075377,0.0,3.0,4.05391200001759,"4.1 [0.1, 4.4]",3.9697610000075656,0.0,4.000000000000003,13.02761737579756,40.34116888486929,46.733668341708544,3.9697610000075656,0.6072841246841667,0.9376461347014298
Voronoi,Every cycle,199,100.0,88.94472361809045,0.25125628140703515,36.64824120603015,413.713567839196,92.0128780039704,"92.0 [34.3, 195.1]",4.278473999875132,0.0,2.5999999999999956,12.36905044957242,19.77782147827287,37.68844221105528,3.67940699970859,35.13487133077565,0.9792618511757338
Voronoi,Event-triggered,199,100.0,88.94472361809045,0.12060301507537688,2.4974874371859297,430.99497487437185,19.972715004314523,"20.0 [15.7, 27.0]",4.017682000267087,0.0,2.666666666666662,12.44766696709702,19.240535626948912,36.18090452261307,0.0449039998784428,7.2225681366436065,0.9735179762427774
Voronoi,Every cycle + prediction,199,100.0,98.49246231155779,0.01507537688442211,96.82914572864321,470.81909547738695,215.57892399459888,"215.6 [107.5, 396.2]",4.645341000014014,0.5025125628140703,2.9999999999999942,13.421441237301629,27.788960321900333,44.221105527638194,4.02344499980245,71.08425551394964,0.9091597253590333
Voronoi,Event + prediction,199,100.0,98.49246231155779,0.01507537688442211,33.79899497487437,486.83417085427135,39.10985099810205,"39.1 [24.4, 65.7]",4.241126999659173,0.0,3.1999999999999935,13.454262797169427,35.23862443470284,46.733668341708544,0.0556230002075608,10.73672790785487,0.9065020880328443
PRM,Plan once,192,100.0,60.9375,0.4947916666666667,0.0,3.0,6.347094499915329,"6.3 [0.1, 7.0]",6.173508499841773,0.0,3.0600000000000023,12.458001100407579,27.16120614586204,42.1875,6.173508499841773,1.3283171844711363,0.972252746076203
PRM,Every cycle,192,100.0,89.58333333333334,0.10416666666666667,32.78125,407.1041666666667,171.15117149592152,"171.2 [83.3, 318.1]",6.955807499934963,1.0416666666666665,2.5583333333333296,12.223489127133623,15.631231159978796,32.8125,0.25239650017283566,65.49418508486008,0.9880367354481985
PRM,Event-triggered,192,100.0,89.0625,0.11458333333333333,1.546875,416.0677083333333,19.396672503489754,"19.4 [13.0, 27.2]",6.465662999971755,0.0,2.5749999999999953,12.334463094488465,16.061232304095697,34.89583333333333,0.025133999997706248,7.101243713061398,0.980758370792952
PRM,Every cycle + prediction,192,100.0,89.0625,0.125,40.9375,424.6875,215.70325499760656,"215.7 [94.0, 400.8]",6.760925999969913,6.770833333333333,2.7666666666666613,12.907695441124297,22.286624726168753,41.14583333333333,4.945744999986346,76.34827425319675,0.9458655101093602
PRM,Event + prediction,192,100.0,89.58333333333334,0.11979166666666667,2.140625,445.4427083333333,21.855030502138106,"21.9 [13.9, 36.2]",6.301717999804168,2.604166666666667,2.883333333333328,13.155216706746877,17.854599450093772,39.58333333333333,0.053650999916499104,7.537111358843677,0.9329274865862899
Visibility graph,Plan once,192,100.0,59.375,0.5416666666666666,0.0,3.0,9.17845299977671,"9.2 [0.1, 10.1]",8.937084500075798,0.5208333333333333,2.780000000000002,11.888559250562682,5.192764131005575,28.125,8.937084500075798,2.613236579382107,1.0148003947396824
Visibility graph,Every cycle,192,100.0,69.79166666666666,0.40625,53.973958333333336,419.2291666666667,322.8398065016336,"322.8 [82.5, 799.7]",10.295578000068417,8.333333333333332,2.6833333333333287,11.897301601840235,4.87834151126502,31.25,8.973035500048354,130.22731211645606,1.0140007171503878
Visibility graph,Event-triggered,192,100.0,68.22916666666666,0.4114583333333333,7.348958333333333,423.6354166666667,45.96740349961692,"46.0 [17.0, 100.3]",9.747730999833948,0.5208333333333333,2.691666666666662,11.899270656589334,2.7127309129299277,32.8125,0.027611999939836047,16.815266227461063,1.013840893070767
Visibility graph,Every cycle + prediction,192,100.0,67.1875,0.40625,63.703125,438.6927083333333,400.8933760005675,"400.9 [138.9, 943.6]",10.31971599991266,5.208333333333334,2.916666666666661,12.062069670392075,4.499097183064919,32.8125,8.633273500208816,139.6651121563214,1.0012944867623508
Visibility graph,Event + prediction,192,100.0,67.1875,0.421875,5.614583333333333,446.3177083333333,39.46356249866767,"39.5 [17.6, 90.4]",9.313971499977924,1.5625,2.9499999999999944,12.135267718767379,6.980985361322851,31.770833333333332,0.0562875000014173,12.019672295027716,0.9957267761970762
