planner,policy,n,completed_%,collision_free_%,collisions_per_run,replans_per_run,planner_calls_per_run,planning_ms_per_run_median,planning_ms_per_run_iqr,max_call_ms_median,runs_with_call_over_16.7ms_%,time_to_goal_s_median,travelled_m_mean,min_clearance_mm_median,near_miss_free_%,p95_call_ms_median,planning_ms_per_sim_s_median,path_efficiency_mean
Voronoi,Plan once,57,100.0,63.1578947368421,0.47368421052631576,0.0,3.0,14.238714000839536,"14.2 [13.8, 14.7]",4.916148999654979,0.0,5.279999999999975,15.045212956343578,21.65411649886596,35.08771929824561,4.916148999654979,2.6294683711588247,0.4873222143774792
Voronoi,Every cycle,57,89.47368421052632,87.71929824561403,14.456140350877194,271.7368421052632,610.7719298245614,566.1721910009874,"566.2 [360.5, 1001.3]",6.622615000196674,5.263157894736842,2.549999999999996,10.707394892132399,1.2437566185605249,0.0,4.607109000062337,210.5427917667486,0.6570647288115942
Voronoi,Event-triggered,57,94.73684210526315,96.49122807017544,7.491228070175438,25.94736842105263,652.5263157894736,46.51943700264383,"46.5 [31.6, 57.2]",4.981147999842506,0.0,3.299999999999993,11.59611084613932,1.0191449298635575,0.0,0.0520429998687177,10.478515774798673,0.641892414583746
Voronoi,Every cycle + prediction,57,80.7017543859649,75.43859649122807,14.912280701754385,460.35087719298247,810.2280701754386,619.925047002198,"619.9 [389.5, 1513.5]",8.189200999822788,5.263157894736842,3.0833333333333273,13.516742367471688,1.8308890530190356,0.0,4.787798000052135,190.2024857157147,0.5558690494614236
Voronoi,Event + prediction,57,94.73684210526315,82.45614035087719,12.24561403508772,58.24561403508772,743.5964912280701,64.84441900147431,"64.8 [50.1, 126.1]",5.12839700013501,0.0,4.149999999999991,13.69582305635263,1.175999348302838,0.0,0.0611710001976462,15.93682912173863,0.5772750957105313
PRM,Plan once,51,100.0,47.05882352941176,0.803921568627451,0.0,3.0,20.59108000003107,"20.6 [19.8, 21.8]",7.156641000165109,0.0,3.940000000000003,10.750217563686792,-5.317312215629045,11.76470588235294,7.156641000165109,5.30900000003071,0.5917308582002065
PRM,Every cycle,51,100.0,92.15686274509804,0.0784313725490196,116.31372549019608,407.2156862745098,805.425611001283,"805.4 [576.9, 1075.9]",10.174684000048728,17.647058823529413,2.583333333333329,8.754117130654345,1.1888731886120638,0.0,6.777048999992985,300.88767630779665,0.7235939504212032
PRM,Event-triggered,51,100.0,92.15686274509804,0.0784313725490196,4.196078431372549,477.37254901960785,54.305607001424505,"54.3 [42.4, 77.4]",7.66811699986647,0.0,3.1999999999999935,9.439467201463447,1.5835959035070744,0.0,0.0368949999938195,18.343597960350138,0.6843493857078018
PRM,Every cycle + prediction,51,100.0,100.0,0.0,99.19607843137256,454.70588235294116,590.7517190021281,"590.8 [486.1, 858.8]",8.206327000152669,13.725490196078432,2.916666666666661,11.278324029050962,1.965025594042146,0.0,6.425853000109782,214.23961453404917,0.6111935655637373
PRM,Event + prediction,51,100.0,98.0392156862745,0.0392156862745098,3.2941176470588234,544.4509803921569,45.865200997013744,"45.9 [39.0, 68.2]",6.948315000045113,5.88235294117647,3.433333333333326,13.261111953320617,1.5607195040561237,1.9607843137254901,0.0601490000917692,12.425192956184008,0.5145992904478869
Visibility graph,Plan once,51,100.0,0.0,4.509803921568627,0.0,3.0,29.902837999543408,"29.9 [22.5, 33.4]",10.125551999863092,1.9607843137254901,3.5400000000000027,6.444946741233442,-54.312828739553126,0.0,10.125551999863092,8.643281502914187,0.9653951265332937
Visibility graph,Every cycle,51,100.0,0.0,3.7450980392156863,240.23529411764707,538.3529411764706,2329.942304996166,"2329.9 [1840.6, 2548.3]",14.463697999872238,23.52941176470588,3.483333333333326,6.563429318490804,-51.83034776292587,0.0,9.942473000137396,631.9306484977928,0.9497501054906774
Visibility graph,Event-triggered,51,100.0,0.0,3.4705882352941178,44.98039215686274,555.4705882352941,398.6262510002234,"398.6 [327.6, 563.2]",10.843451999789975,7.8431372549019605,3.599999999999992,6.572120923573836,-53.48295587576443,0.0,9.271853000427654,113.06782790805451,0.9471880676177261
Visibility graph,Every cycle + prediction,51,100.0,0.0,3.764705882352941,192.8235294117647,547.8627450980392,1904.1949180013944,"1904.2 [1571.8, 2231.2]",14.603994000026432,23.52941176470588,3.4666666666666592,6.665359597413806,-58.84383820089113,0.0,9.740517999944132,554.3726840582889,0.9338356416742865
Visibility graph,Event + prediction,51,100.0,3.9215686274509802,3.5294117647058822,39.450980392156865,562.9411764705883,358.70362500327246,"358.7 [297.6, 469.5]",10.892293999859248,9.803921568627452,3.733333333333325,6.704071832858934,-55.11542025906516,0.0,9.175197999866214,96.41597258128226,0.9274009887885566
