policy,planner,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,n,collision_free_%,completed_%,near_miss_free_%,replans_mean,planning_ms_median,planning_ms_per_sim_s_median,p95_call_ms_median,runs_with_call_over_budget_%,time_to_goal_s_median,best_collision_free_%
event,voronoi,100.0,20.0,40.0,107,92.5233644859813,100.0,85.04672897196261,13.121495327102803,23.07899699906102,6.325190189809459,0.0428999999257939,0.0,3.3800000000000026,93.45794392523365
event,prm,0.0,20.0,90.0,157,84.71337579617835,100.0,77.70700636942675,3.3312101910828025,21.94743700022173,7.06258455886487,0.0232810000397876,0.0,2.8000000000000016,84.71337579617835
event,visibility,100.0,20.0,0.0,157,70.06369426751591,100.0,52.86624203821656,9.121019108280255,56.79173799944692,17.1470710657838,0.0442770000290693,0.6369426751592357,2.860000000000002,70.06369426751591
cycle,voronoi,100.0,20.0,90.0,107,95.32710280373831,100.0,88.78504672897196,63.22429906542056,140.6687050000528,48.50645000001817,3.3358630000748235,0.0,3.1200000000000023,96.26168224299066
cycle,prm,0.0,20.0,40.0,157,81.52866242038218,100.0,52.86624203821656,39.50955414012739,167.87400700104627,69.29657819527111,4.54502700000603,1.910828025477707,2.640000000000002,82.16560509554141
cycle,visibility,100.0,20.0,0.0,157,69.42675159235668,100.0,51.59235668789809,59.0,374.26760299973694,128.89754194618678,6.909332999839535,1.2738853503184715,2.820000000000002,69.42675159235668
